date,region,product,units,unit_price,discount
2026-06-01,north,notebook,21,42.00,0.05
2026-06-01,south,notebook,18,42.00,0.03
2026-06-01,east,notebook,24,42.00,0.04
2026-06-01,west,notebook,16,42.00,0.02
2026-06-02,north,keyboard,35,31.50,0.06
2026-06-02,south,keyboard,38,31.50,0.04
2026-06-02,east,keyboard,40,31.50,0.03
2026-06-02,west,keyboard,23,31.50,0.02
2026-06-03,north,monitor,14,129.00,0.07
2026-06-03,south,monitor,18,129.00,0.06
2026-06-03,east,monitor,21,129.00,0.05
2026-06-03,west,monitor,11,129.00,0.03
2026-06-04,north,camera,9,215.00,0.04
2026-06-04,south,camera,12,215.00,0.05
2026-06-04,east,camera,13,215.00,0.04
2026-06-04,west,camera,7,215.00,0.02
2026-06-05,north,notebook,28,43.50,0.03
2026-06-05,south,notebook,26,43.50,0.03
2026-06-05,east,notebook,34,43.50,0.04
2026-06-05,west,notebook,19,43.50,0.02
2026-06-06,north,keyboard,31,33.00,0.05
2026-06-06,south,keyboard,42,33.00,0.04
2026-06-06,east,keyboard,45,33.00,0.03
2026-06-06,west,keyboard,27,33.00,0.02
2026-06-07,north,monitor,18,132.00,0.06
2026-06-07,south,monitor,21,132.00,0.05
2026-06-07,east,monitor,25,132.00,0.04
2026-06-07,west,monitor,13,132.00,0.03
2026-06-08,north,camera,11,219.00,0.04
2026-06-08,south,camera,15,219.00,0.05
2026-06-08,east,camera,17,219.00,0.04
2026-06-08,west,camera,8,219.00,0.02
